"ID"	"study"	"estimate"	"se"	"zval"	"pval"	"ci.lb"	"ci.ub"	"Q"	"Qp"	"tau2"	"I2"	"H2"
"table12"	"Li (2021)"	-3.54301389462906	0.99300037661818	-3.56798847015079	0.000359732329735794	-5.4892588694354	-1.59676891982272	0.0166076057524679	0.897460119632217	0	0	1
"table12"	"Zhang (2021)"	-3.30547022398467	0.945188357063164	-3.49715503717719	0.000470248454886776	-5.15800536243506	-1.45293508553429	0.190262853323356	0.662697936995314	0	0	1
"table12"	"Jiang (2018)"	-3.02960285364709	1.15188692475963	-2.63012174938899	0.00853542942303849	-5.28725974043855	-0.771945966855622	0.0607521639216344	0.805311040247192	0	0	1
"table13"	"Xin (2022)"	-4.10255281071432	2.06848186093034	-1.98336417070108	0.0473267662463894	-8.15670276081217	-0.0484028606164708	0	1	0	0	1
"table13"	"Zhang (2021)"	-1.40840119123892	0.673212698527893	-2.09205975216846	0.0364331709222901	-2.72787383428861	-0.0889285481892303	0	1	0	0	1
"table14"	"Li (2021)"	-4.38911321727217	1.59888037769661	-2.74511669446794	0.00604893842094655	-7.52286117314533	-1.25536526139901	0.56873137699776	0.450763474169234	0	0	1
"table14"	"Zhang (2021)"	-3.53258529999072	1.58154369168287	-2.23363117855556	0.0255073506888482	-6.63235397566566	-0.432816624315775	1.19514146453971	0.274294909852629	1.12106443302546	16.3278967661675	1.19514146453971
"table14"	"Hu (2021)"	-3.02709968487806	1.15845591325663	-2.61304694484949	0.00897389748690178	-5.29763155253851	-0.75656781721761	0.176755411875602	0.674176544550994	0	0	1
"table15"	"Li (2021)"	-3.91894464346068	1.07248146023054	-3.654090806025	0.000258094919398702	-6.02096967959946	-1.8169196073219	0.00297621704931159	0.956493216308953	0	0	1
"table15"	"Zhang (2021)"	-2.81602362410503	1.07414294972693	-2.62164698359835	0.00875060196621297	-4.92130511981742	-0.710742128392634	1.53752055587472	0.214987243070231	0.809706372342397	34.9602191542028	1.53752055587472
"table15"	"Jiang (2018)"	-2.33902297362254	1.00288864051301	-2.33228583826222	0.0196856590354593	-4.30464858953238	-0.373397357712705	0.791369077303815	0.37368646741264	0	0	1
"table16"	"Liu (2021)"	5.52067779621577	1.04298373013715	5.29315811617675	1.20221887583735e-07	3.47646724868571	7.56488834374583	0.00474633361932181	0.945074281113004	0	0	1
"table16"	"Hu_a (2022)"	5.38563375566332	1.26542410134556	4.25599113367337	2.08124954429715e-05	2.90544809185705	7.86581941946959	0.0697385158541632	0.791717881589338	0	0	1
"table16"	"Hu_b (2022)"	5.28745337979137	1.24538289263651	4.24564478206192	2.17965709602105e-05	2.8465477632615	7.72835899632123	0.0459522010719566	0.830262709936476	0	0	1
"table11"	"Xin (2022)"	-5.57620660707838	2.70915362593577	-2.05828364759208	0.0395629129819541	-10.8860501424986	-0.266363071658178	0	1	0	0	1
"table11"	"Zhang (2021)"	-6.38106887041393	1.67158608582398	-3.81737376526947	0.000134879758843522	-9.6573173956872	-3.10482034514066	0	1	0	0	1
