"ID"	"Std_Eff"	"coefficient"	"std_error"	"zvalue"	"pvalue"	"CI_low"	"CI_high"
"table12"	"intercept"	-4.60794334309703	5.31173895114171	-0.867501845531509	0.385667101026186	-15.0187603826133	5.80287369641927
"table12"	"slope_bias"	0.906774700236809	3.68465190941571	0.246095078321958	0.805608632875593	-6.31501033778472	8.12855973825834
"table13"	NA	NA	NA	NA	NA	NA	NA
"table14"	"intercept"	0.797539106100421	4.00324853534396	0.19922298080149	0.842088323643491	-7.04868384433646	8.6437620565373
"table14"	"slope_bias"	-2.34929273330439	2.13392483329762	-1.10092571989706	0.27092898704987	-6.53170855228337	1.83312308567458
"table15"	"intercept"	-0.329900855934267	4.2471649182583	-0.0776755464606623	0.938086146419334	-8.65419113212253	7.994389420254
"table15"	"slope_bias"	-1.96228974337505	3.06263177187117	-0.640720102690031	0.521704550866633	-7.96493771415064	4.04035822740054
"table16"	"intercept"	6.58451731263181	4.71178555976323	1.39745691503046	0.16227621425103	-2.65041268738002	15.8194473126436
"table16"	"slope_bias"	-0.722296325223918	2.84567499104836	-0.253822494661564	0.79963269420033	-6.29971681938505	4.85512416893721
"table11"	NA	NA	NA	NA	NA	NA	NA
